CCBASIC,CCUGPROF,HIGHDEG,CCSIZSET,CONTROL,CURROPER,INSTNM,INSTURL
14,5,3,12,1,1,Foothill College,https://foothill.edu
24,0,4,18,2,1,Franciscan School of Theology,www.fst.edu
-2,-2,1,-2,3,1,Fredrick and Charles Beauty College,www.fandcbeauty.com
5,1,2,5,1,1,Fresno City College,www.fresnocitycollege.edu
18,13,4,12,2,1,Fresno Pacific University,www.fresno.edu
24,0,4,18,2,1,Fuller Theological Seminary,www.fuller.edu
1,1,2,5,1,1,Fullerton College,www.fullcoll.edu
4,1,2,3,1,1,Gavilan College,https://www.gavilan.edu
-2,-2,1,-2,2,1,Gemological Institute of America-Carlsbad,www.gia.edu/gem-education
4,2,2,4,1,1,Glendale Community College,www.glendale.edu
10,4,2,2,3,1,Glendale Career College,www.success.edu
18,5,4,9,2,1,Golden Gate University-San Francisco,www.ggu.edu
1,1,2,4,1,1,Golden West College,www.goldenwestcollege.edu
24,0,4,18,2,1,Graduate Theological Union,WWW.GTU.EDU
1,1,2,5,1,1,Grossmont College,www.grossmont.edu/
-2,-2,1,-2,3,1,Salon Success Academy-Riverside,www.gotobeautyschool.com
1,1,2,4,1,1,Hartnell College,www.hartnell.edu
21,14,3,8,2,1,Harvey Mudd College,https://www.hmc.edu
-2,-2,1,-2,3,1,Hilltop Beauty School,www.hilltopbeautyschool.com
19,11,4,8,2,1,Holy Names University,www.hnu.edu
26,0,4,18,3,1,Pacifica Graduate Institute,www.pacifica.edu
19,13,4,13,1,1,Humboldt State University,www.humboldt.edu
22,7,4,6,2,1,Humphreys University-Stockton and Modesto Campuses,www.humphreys.edu
4,2,2,4,1,1,Imperial Valley College,www.imperial.edu
10,4,2,2,3,1,Institute for Business and Technology,https://ibt.edu/
30,5,3,6,3,1,Interior Designers Institute,idi.edu
-2,-2,1,-2,3,1,Toni & Guy Hairdressing Academy-Santa Monica,toniguy.com/academy/santa_monica_beauty_school/default.aspx
2,1,2,4,1,1,Irvine Valley College,www.ivc.edu
-2,-2,1,-2,3,1,Bellus Academy-El Cajon,www.bellusacademy.edu
17,5,4,6,2,1,John F. Kennedy University,https://www.jfku.edu
21,11,4,8,2,1,American Jewish University,www.aju.edu
2,1,2,4,1,1,Reedley College,www.reedleycollege.edu
22,11,4,8,2,1,Life Pacific College,www.lifepacific.edu
17,9,4,12,2,1,University of La Verne,www.laverne.edu/
30,15,4,6,2,1,Laguna College of Art and Design,www.lcad.edu
6,1,2,2,1,1,Lake Tahoe Community College,www.ltcc.edu
-2,-2,1,-2,3,1,Lancaster Beauty School,lancasterbeautyschool.com
5,1,2,3,1,1,Laney College,laney.edu/
2,1,2,2,1,1,Lassen Community College,www.lassencollege.edu/
26,0,4,18,2,1,Life Chiropractic College West,www.lifewest.edu
29,6,4,6,2,1,Lincoln University,www.lincolnuca.edu
24,5,4,6,2,1,Southern California Seminary,www.socalsem.edu
19,11,4,10,2,1,La Sierra University,https://lasierra.edu
25,11,4,13,2,1,Loma Linda University,www.llu.edu/index.html
4,1,2,5,1,1,Long Beach City College,www.lbcc.edu
26,10,4,6,2,1,Southern California University of Health Sciences,www.scuhs.edu
2,1,2,3,1,1,Los Angeles Harbor College,www.lahc.edu
1,1,2,4,1,1,Los Angeles Pierce College,www.piercecollege.edu
2,1,2,3,1,1,Los Angeles Southwest College,www.lasc.edu
8,1,2,4,1,1,Los Angeles Trade Technical College,www.lattc.edu
1,1,2,4,1,1,Los Angeles Valley College,www.lavc.edu
19,13,4,11,2,1,The Master's University and Seminary,www.masters.edu
2,1,2,4,1,1,Los Angeles City College,www.lacitycollege.edu/
10,1,2,1,1,1,Los Angeles County College of Nursing and Allied Health,dhs.lacounty.gov/wps/portal/dhs/conah/
1,1,2,3,1,1,Los Angeles Mission College,www.lamission.edu
1,1,2,3,1,1,Los Medanos College,www.losmedanos.edu/
16,15,4,14,2,1,Loyola Marymount University,www.lmu.edu
-2,-2,1,-2,3,1,Lu Ross Academy,www.lurossacademy.com/
-2,-2,1,-2,3,1,Lyle's College of Beauty,lylescolleges.com
-2,-2,1,-2,3,1,Lyle's College of  Beauty,lylescolleges.com
-2,-2,1,-2,3,1,Lytles Redwood Empire Beauty College Inc,www.lytlesrebc.edu/
-2,-2,1,-2,3,0,MTI Business College Inc,www.mtistockton.com
7,4,2,2,3,1,MTI College,www.mticollege.edu
5,1,2,3,1,1,College of Marin,www.marin.edu
21,11,4,7,2,1,Marymount California University,www.marymountcalifornia.edu/
5,1,2,2,1,1,Mendocino College,www.mendocino.edu
29,13,3,8,2,1,Menlo College,www.menlo.edu
4,2,2,4,1,1,Merced College,www.mccd.edu
8,1,2,3,1,1,Merritt College,www.merritt.edu
19,11,4,11,2,1,Mills College,https://www.mills.edu
14,5,2,12,1,1,MiraCosta College,www.miracosta.edu
2,1,2,3,1,1,Mission College,www.missioncollege.edu/
-2,-2,1,-2,3,1,Modern Beauty Academy,www.modernbeautyacademy.org
14,5,2,12,1,1,Modesto Junior College,www.mjc.edu
-2,-2,1,-2,3,1,Moler Barber College,moler.org
18,11,4,6,2,1,Middlebury Institute of International Studies at Monterey,www.middlebury.edu/institute/
2,1,2,3,1,1,Monterey Peninsula College,www.mpc.edu
1,2,2,4,1,1,Moorpark College,www.moorparkcollege.edu/index.shtml
4,1,2,5,1,1,Mt San Antonio College,www.mtsac.edu
18,7,4,10,2,1,Mount Saint Mary's University,https://www.msmu.edu
4,1,2,4,1,1,Mt San Jacinto Community College District,www.msjc.edu
30,11,3,6,3,1,Musicians Institute,www.mi.edu
4,1,2,3,1,1,Napa Valley College,www.napavalley.edu
-2,-2,1,-2,3,1,National Holistic Institute,www.nhi.edu
18,5,4,15,2,1,National University,www.nu.edu
18,0,4,18,1,1,Naval Postgraduate School,https://www.nps.edu
30,11,4,6,3,1,Newschool of Architecture and Design,www.newschoolarch.edu
-2,-2,1,-2,3,1,Newberry School of Beauty,www.newberryschoolofbeauty.net
-2,-2,1,-2,3,1,North Adrian's College of Beauty Inc,www.adrians.edu
-2,-2,1,-2,3,1,North-West College-Pomona,www.north-westcollege.edu
10,4,2,2,3,1,North-West College-West Covina,www.north-westcollege.edu
-2,-2,1,-2,3,1,North-West College-Van Nuys,www.north-westcollege.edu
19,7,4,10,2,1,Notre Dame de Namur University,www.ndnu.edu
21,14,3,11,2,1,Occidental College,https://www.oxy.edu
8,1,2,4,1,1,Ohlone College,www.ohlone.edu
1,1,2,5,1,1,Orange Coast College,www.orangecoastcollege.edu/
30,11,4,9,2,1,Otis College of Art and Design,www.otis.edu
1,1,2,3,1,1,Oxnard College,www.oxnardcollege.edu
19,7,4,10,2,1,Hope International University,www.hiu.edu
10,4,2,2,3,1,Concorde Career College-San Diego,https://www.concorde.edu/campus/san-diego-california
26,11,4,6,2,1,Palo Alto University,www.paloaltou.edu
32,5,4,6,2,1,Pacific Oaks College,www.pacificoaks.edu
24,0,4,18,2,1,Pacific School of Religion,www.psr.edu
29,0,4,6,2,1,Pacific States University,www.psuca.edu
22,11,3,11,2,1,Pacific Union College,www.puc.edu
17,14,4,14,2,1,University of the Pacific,www.pacific.edu
2,1,2,2,1,1,Palo Verde College,www.paloverde.edu
4,1,2,5,1,1,Palomar College,www2.palomar.edu/
1,1,2,5,1,1,Pasadena City College,pasadena.edu/
